,pagecount_mobile_views,pagecount_desktop_views,pagecount_all_views,pageview_mobile_views,pageview_desktop_views,pageview_all_views,Year,Month
22,0.0,2998331524.0,2998331524.0,0.0,0.0,0.0,2007,12
23,0.0,4930902570.0,4930902570.0,0.0,0.0,0.0,2008,1
24,0.0,4818393763.0,4818393763.0,0.0,0.0,0.0,2008,2
25,0.0,4955405809.0,4955405809.0,0.0,0.0,0.0,2008,3
26,0.0,5159162183.0,5159162183.0,0.0,0.0,0.0,2008,4
27,0.0,5584691092.0,5584691092.0,0.0,0.0,0.0,2008,5
28,0.0,5712104279.0,5712104279.0,0.0,0.0,0.0,2008,6
29,0.0,5306302874.0,5306302874.0,0.0,0.0,0.0,2008,7
30,0.0,5140155519.0,5140155519.0,0.0,0.0,0.0,2008,8
31,0.0,5479533823.0,5479533823.0,0.0,0.0,0.0,2008,9
32,0.0,5679440782.0,5679440782.0,0.0,0.0,0.0,2008,10
33,0.0,5415832071.0,5415832071.0,0.0,0.0,0.0,2008,11
34,0.0,5211708451.0,5211708451.0,0.0,0.0,0.0,2008,12
35,0.0,5802681551.0,5802681551.0,0.0,0.0,0.0,2009,1
36,0.0,5547320860.0,5547320860.0,0.0,0.0,0.0,2009,2
37,0.0,6295159057.0,6295159057.0,0.0,0.0,0.0,2009,3
38,0.0,5988817321.0,5988817321.0,0.0,0.0,0.0,2009,4
39,0.0,6267516733.0,6267516733.0,0.0,0.0,0.0,2009,5
40,0.0,5818924182.0,5818924182.0,0.0,0.0,0.0,2009,6
41,0.0,5801646978.0,5801646978.0,0.0,0.0,0.0,2009,7
42,0.0,5790850384.0,5790850384.0,0.0,0.0,0.0,2009,8
43,0.0,4057515768.0,4057515768.0,0.0,0.0,0.0,2009,9
44,0.0,6016107147.0,6016107147.0,0.0,0.0,0.0,2009,10
45,0.0,5768486910.0,5768486910.0,0.0,0.0,0.0,2009,11
46,0.0,5426505977.0,5426505977.0,0.0,0.0,0.0,2009,12
47,0.0,5703465285.0,5703465285.0,0.0,0.0,0.0,2010,1
48,0.0,5762451418.0,5762451418.0,0.0,0.0,0.0,2010,2
49,0.0,6661347946.0,6661347946.0,0.0,0.0,0.0,2010,3
50,0.0,6618552152.0,6618552152.0,0.0,0.0,0.0,2010,4
51,0.0,6410578775.0,6410578775.0,0.0,0.0,0.0,2010,5
52,0.0,4898035014.0,4898035014.0,0.0,0.0,0.0,2010,6
53,0.0,5296177638.0,5296177638.0,0.0,0.0,0.0,2010,7
54,0.0,7381346660.0,7381346660.0,0.0,0.0,0.0,2010,8
55,0.0,7546488744.0,7546488744.0,0.0,0.0,0.0,2010,9
56,0.0,10172844562.0,10172844562.0,0.0,0.0,0.0,2010,10
57,0.0,6948678354.0,6948678354.0,0.0,0.0,0.0,2010,11
58,0.0,7001952100.0,7001952100.0,0.0,0.0,0.0,2010,12
59,0.0,7568511227.0,7568511227.0,0.0,0.0,0.0,2011,1
60,0.0,6906248849.0,6906248849.0,0.0,0.0,0.0,2011,2
61,0.0,7326545928.0,7326545928.0,0.0,0.0,0.0,2011,3
62,0.0,6835492088.0,6835492088.0,0.0,0.0,0.0,2011,4
63,0.0,7009799378.0,7009799378.0,0.0,0.0,0.0,2011,5
64,0.0,6536675534.0,6536675534.0,0.0,0.0,0.0,2011,6
65,0.0,6571730164.0,6571730164.0,0.0,0.0,0.0,2011,7
66,0.0,6514500361.0,6514500361.0,0.0,0.0,0.0,2011,8
67,0.0,5837738935.0,5837738935.0,0.0,0.0,0.0,2011,9
68,0.0,6974424665.0,6974424665.0,0.0,0.0,0.0,2011,10
69,0.0,7507641641.0,7507641641.0,0.0,0.0,0.0,2011,11
70,0.0,6396357939.0,6396357939.0,0.0,0.0,0.0,2011,12
71,0.0,7808477339.0,7808477339.0,0.0,0.0,0.0,2012,1
72,0.0,7530127141.0,7530127141.0,0.0,0.0,0.0,2012,2
73,0.0,7358543625.0,7358543625.0,0.0,0.0,0.0,2012,3
74,0.0,7220029422.0,7220029422.0,0.0,0.0,0.0,2012,4
75,0.0,7784479302.0,7784479302.0,0.0,0.0,0.0,2012,5
76,0.0,7524265988.0,7524265988.0,0.0,0.0,0.0,2012,6
77,0.0,7819376527.0,7819376527.0,0.0,0.0,0.0,2012,7
78,0.0,7885641059.0,7885641059.0,0.0,0.0,0.0,2012,8
79,0.0,7913689733.0,7913689733.0,0.0,0.0,0.0,2012,9
80,0.0,8379960050.0,8379960050.0,0.0,0.0,0.0,2012,10
81,0.0,8219987195.0,8219987195.0,0.0,0.0,0.0,2012,11
82,0.0,8033826900.0,8033826900.0,0.0,0.0,0.0,2012,12
83,0.0,9126210673.0,9126210673.0,0.0,0.0,0.0,2013,1
84,0.0,8100597857.0,8100597857.0,0.0,0.0,0.0,2013,2
85,0.0,8701419671.0,8701419671.0,0.0,0.0,0.0,2013,3
86,0.0,8049296729.0,8049296729.0,0.0,0.0,0.0,2013,4
87,0.0,8089099883.0,8089099883.0,0.0,0.0,0.0,2013,5
88,0.0,7759959725.0,7759959725.0,0.0,0.0,0.0,2013,6
89,0.0,8237301982.0,8237301982.0,0.0,0.0,0.0,2013,7
90,0.0,9306122925.0,9306122925.0,0.0,0.0,0.0,2013,8
91,0.0,9985326806.0,9985326806.0,0.0,0.0,0.0,2013,9
92,0.0,10775158269.0,10775158269.0,0.0,0.0,0.0,2013,10
93,0.0,10414877805.0,10414877805.0,0.0,0.0,0.0,2013,11
94,0.0,7102459747.0,7102459747.0,0.0,0.0,0.0,2013,12
95,0.0,7026531269.0,7026531269.0,0.0,0.0,0.0,2014,1
96,0.0,6718243109.0,6718243109.0,0.0,0.0,0.0,2014,2
97,0.0,7464128273.0,7464128273.0,0.0,0.0,0.0,2014,3
98,0.0,7216245221.0,7216245221.0,0.0,0.0,0.0,2014,4
99,0.0,7543277646.0,7543277646.0,0.0,0.0,0.0,2014,5
100,0.0,6577352648.0,6577352648.0,0.0,0.0,0.0,2014,6
101,0.0,6761059566.0,6761059566.0,0.0,0.0,0.0,2014,7
102,0.0,6687313714.0,6687313714.0,0.0,0.0,0.0,2014,8
103,0.0,7564600999.0,7564600999.0,0.0,0.0,0.0,2014,9
0,3091546685.0,6577533128.0,9669079813.0,0.0,0.0,0.0,2014,10
1,3027489668.0,6153537606.0,9181027274.0,0.0,0.0,0.0,2014,11
2,3278950021.0,5830332248.0,9109282269.0,0.0,0.0,0.0,2014,12
3,3485302091.0,6103767055.0,9589069146.0,0.0,0.0,0.0,2015,1
4,3091534479.0,5602710439.0,8694244918.0,0.0,0.0,0.0,2015,2
5,3330832588.0,6346602713.0,9677435301.0,0.0,0.0,0.0,2015,3
6,3222089917.0,6198945657.0,9421035574.0,0.0,0.0,0.0,2015,4
7,3334069483.0,6323801814.0,9657871297.0,0.0,0.0,0.0,2015,5
8,3038162463.0,5165413640.0,8203576103.0,0.0,0.0,0.0,2015,6
9,3254472695.0,5229226022.0,8483698717.0,3288755294.0,4376666686.0,7665421980.0,2015,7
10,3268487582.0,5035534449.0,8304022031.0,3302333038.0,4332482183.0,7634815221.0,2015,8
11,3172429827.0,5409631355.0,8582061182.0,3170203333.0,4485491704.0,7655695037.0,2015,9
12,3246082505.0,5535704471.0,8781786976.0,3268499132.0,4477532755.0,7746031887.0,2015,10
13,3218234512.0,5296956116.0,8515190628.0,3236601070.0,4287720220.0,7524321290.0,2015,11
14,3387411863.0,5264446173.0,8651858036.0,3376275307.0,4100012037.0,7476287344.0,2015,12
15,3739628742.0,5569632502.0,9309261244.0,3717836846.0,4436179457.0,8154016303.0,2016,1
16,3333231392.0,5347709361.0,8680940753.0,3334862272.0,4250997185.0,7585859457.0,2016,2
17,3419853636.0,5407676056.0,8827529692.0,3386684191.0,4286590426.0,7673274617.0,2016,3
18,3301385124.0,5572235399.0,8873620523.0,3258764002.0,4149383857.0,7408147859.0,2016,4
19,3418435805.0,5330532334.0,8748968139.0,3395033236.0,4191778094.0,7586811330.0,2016,5
20,3372618063.0,4975092447.0,8347710510.0,3354790945.0,3888839711.0,7243630656.0,2016,6
21,3500661121.0,5363966439.0,8864627560.0,3496573762.0,4337865827.0,7834439589.0,2016,7
104,0.0,0.0,0.0,3515819303.0,4695046216.0,8210865519.0,2016,8
105,0.0,0.0,0.0,3393285781.0,4135006498.0,7528292279.0,2016,9
106,0.0,0.0,0.0,3509283891.0,4361737690.0,7871021581.0,2016,10
107,0.0,0.0,0.0,3591044925.0,4392068236.0,7983113161.0,2016,11
108,0.0,0.0,0.0,3776543855.0,4209608578.0,7986152433.0,2016,12
109,0.0,0.0,0.0,4231961542.0,4521980398.0,8753941940.0,2017,1
110,0.0,0.0,0.0,3711761399.0,4026702163.0,7738463562.0,2017,2
111,0.0,0.0,0.0,3903493989.0,4319971902.0,8223465891.0,2017,3
112,0.0,0.0,0.0,3639623119.0,3951456992.0,7591080111.0,2017,4
113,0.0,0.0,0.0,3686687720.0,4187870579.0,7874558299.0,2017,5
114,0.0,0.0,0.0,3519383193.0,3604550997.0,7123934190.0,2017,6
115,0.0,0.0,0.0,3725059253.0,3565444544.0,7290503797.0,2017,7
116,0.0,0.0,0.0,3621406302.0,3575572313.0,7196978615.0,2017,8
117,0.0,0.0,0.0,3531604369.0,3547447892.0,7079052261.0,2017,9
118,0.0,0.0,0.0,3673120542.0,3907651639.0,7580772181.0,2017,10
119,0.0,0.0,0.0,3670012061.0,3816060923.0,7486072984.0,2017,11
120,0.0,0.0,0.0,3830136304.0,3640391096.0,7470527400.0,2017,12
121,0.0,0.0,0.0,4259282371.0,4111833689.0,8371116060.0,2018,1
122,0.0,0.0,0.0,3725680728.0,3634653694.0,7360334422.0,2018,2
123,0.0,0.0,0.0,4049874257.0,3965271925.0,8015146182.0,2018,3
124,0.0,0.0,0.0,3927398111.0,3762955419.0,7690353530.0,2018,4
125,0.0,0.0,0.0,4089188522.0,3675652396.0,7764840918.0,2018,5
126,0.0,0.0,0.0,3977766741.0,3278649434.0,7256416175.0,2018,6
127,0.0,0.0,0.0,4266113752.0,3457051589.0,7723165341.0,2018,7
128,0.0,0.0,0.0,4187362161.0,3399130789.0,7586492950.0,2018,8
129,0.0,0.0,0.0,3977120244.0,3433832231.0,7410952475.0,2018,9
130,0.0,0.0,0.0,4073789753.0,3640606578.0,7714396331.0,2018,10
131,0.0,0.0,0.0,4033380040.0,3448616562.0,7481996602.0,2018,11
132,0.0,0.0,0.0,4289054166.0,3379686909.0,7668741075.0,2018,12
133,0.0,0.0,0.0,4597597181.0,3616017826.0,8213615007.0,2019,1
134,0.0,0.0,0.0,4018109995.0,3244921935.0,7263031930.0,2019,2
135,0.0,0.0,0.0,4407290322.0,3439386600.0,7846676922.0,2019,3
136,0.0,0.0,0.0,4261664166.0,3330234244.0,7591898410.0,2019,4
137,0.0,0.0,0.0,4413766230.0,3364959217.0,7778725447.0,2019,5
138,0.0,0.0,0.0,4285985271.0,2986618238.0,7272603509.0,2019,6
139,0.0,0.0,0.0,4557266440.0,3140657554.0,7697923994.0,2019,7
140,0.0,0.0,0.0,4531756543.0,2979881198.0,7511637741.0,2019,8
141,0.0,0.0,0.0,4437958209.0,3061362632.0,7499320841.0,2019,9
142,0.0,0.0,0.0,4506591862.0,3588403486.0,8094995348.0,2019,10
143,0.0,0.0,0.0,4471241664.0,3252465442.0,7723707106.0,2019,11
144,0.0,0.0,0.0,4554269292.0,3097051994.0,7651321286.0,2019,12
145,0.0,0.0,0.0,4832149630.0,3440480235.0,8272629865.0,2020,1
146,0.0,0.0,0.0,4418801212.0,3176520359.0,7595321571.0,2020,2
147,0.0,0.0,0.0,4686270555.0,3412498274.0,8098768829.0,2020,3
148,0.0,0.0,0.0,5505741941.0,3798372613.0,9304114554.0,2020,4
149,0.0,0.0,0.0,5231700095.0,3078093615.0,8309793710.0,2020,5
150,0.0,0.0,0.0,4573975256.0,2721328557.0,7295303813.0,2020,6
151,0.0,0.0,0.0,4809714465.0,2638936132.0,7448650597.0,2020,7
152,0.0,0.0,0.0,4803308661.0,2613058239.0,7416366900.0,2020,8
153,0.0,0.0,0.0,4492250780.0,2661783500.0,7154034280.0,2020,9
